sim_ind	normalized_rf	kf_distance	MAE
1	0.7690582959641256	4.894681244111257	1.1764612939554409
2	0.7488789237668162	4.8987292506114	0.9660920516191003
3	0.7892376681614349	4.805309622502497	1.0281587183170167
4	0.7780269058295964	4.9976509851172555	1.1143411219846038
5	0.7533632286995515	4.852746811567088	1.1690184807134278
6	0.8004484304932735	4.696819037690713	0.9732716969496931
7	0.7914798206278026	4.901609572322514	1.0333316853021084
8	0.7892376681614349	4.985518823574733	1.2371212634941544
9	0.7757847533632287	5.044857252870353	1.0324450410509114
10	0.8295964125560538	4.888458228869224	1.004203102981845
